bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,READ,SEARCH_CONTENT,SEARCH_FILES,TEST,VCS,WEB,WRITE
Math-65,1,0,0,3,1,1,3,0,0,2
Math-66,7,0,0,11,0,0,12,9,5,13
Math-68,31,0,0,8,0,0,18,15,0,134
Math-6,7,0,0,14,0,10,9,1,0,13
Math-71,3,0,0,11,1,0,78,0,0,156
Math-72,2,0,0,2,0,1,3,1,0,2
Math-76,0,0,0,5,0,1,77,0,0,83
Math-77,1,0,0,2,0,0,3,0,0,2
Math-78,1,0,0,7,0,0,7,0,0,14
Math-7,13,0,0,11,1,0,14,1,0,38
Math-81,27,0,0,21,2,0,33,26,0,46
Math-83,3,0,0,6,0,0,3,1,0,1
Math-84,6,0,0,8,2,2,7,1,0,6
Math-86,0,0,0,2,0,2,5,0,0,2
Math-90,6,0,0,3,0,2,8,1,1,11
Math-92,2,0,0,3,0,2,5,0,0,2
Math-93,0,0,0,3,0,2,5,1,0,4
Math-98,2,0,0,3,0,0,3,1,0,2
Math-99,2,0,0,3,0,2,3,1,0,2
Mockito-10,16,0,0,12,0,2,16,0,0,45
Mockito-14,1,0,0,4,1,0,3,0,0,0
Mockito-15,1,0,0,6,2,1,3,0,0,0
Mockito-16,16,0,0,17,0,0,13,5,0,161
Mockito-17,5,2,0,9,0,4,7,1,0,8
Mockito-19,1,0,0,19,1,0,26,1,0,48
Mockito-20,5,0,0,15,6,2,8,1,0,18
Mockito-21,5,0,1,12,0,3,6,4,0,10
Mockito-23,6,0,0,19,5,0,8,0,0,12
Mockito-25,7,0,0,21,2,3,5,0,0,30
Mockito-2,5,0,0,11,2,0,6,2,0,9
Mockito-30,1,0,0,5,0,1,5,1,0,3
Mockito-31,1,0,0,3,0,0,6,1,0,1
Mockito-32,1,0,0,4,2,1,5,1,0,1
Mockito-35,5,0,0,15,4,6,5,0,0,5
Mockito-36,1,0,0,2,1,0,4,0,0,0
Mockito-3,6,0,0,12,2,0,7,1,0,8
Mockito-4,4,0,0,17,13,4,6,0,0,7
Mockito-6,6,0,0,9,0,3,8,1,0,28
Mockito-9,1,0,0,6,3,1,4,0,0,1
Time-10,1,0,0,6,0,0,3,0,0,2
Time-12,1,0,0,5,0,0,4,1,0,4
Time-13,1,0,0,9,1,0,6,1,0,4
Time-1,7,0,0,30,3,0,9,2,0,34
Time-23,22,2,0,43,0,2,23,0,0,22
Time-26,2,0,0,6,0,1,3,0,0,1
Time-2,4,0,0,8,0,2,5,1,2,6
Time-3,4,0,0,13,0,0,7,0,0,9
Time-6,13,1,0,25,0,0,15,1,0,38
Time-9,1,0,0,9,0,0,7,2,0,4
JacksonCore-17,2,0,0,4,0,1,3,1,0,1
JacksonDatabind-20,3,0,1,8,13,0,5,1,0,4
