bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
JacksonDatabind_103,5,0,2,30,2,1,24,0,14,0,8,0,1,10,0,22
JacksonDatabind_104,3,0,0,10,0,0,4,0,0,2,7,0,0,0,0,6
JacksonDatabind_105,2,0,0,25,0,0,21,0,13,10,9,0,2,3,0,9
JacksonDatabind_108,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
JacksonDatabind_109,1,0,0,0,0,0,5,0,1,0,4,0,0,0,0,0
JacksonDatabind_110,1,0,0,8,0,0,6,0,3,1,7,0,0,0,0,7
JacksonDatabind_111,7,0,0,22,0,0,9,0,1,0,11,0,0,6,0,10
JacksonDatabind_13,1,0,0,13,0,0,5,0,4,9,5,0,0,0,0,3
JacksonDatabind_14,5,0,0,17,0,0,3,0,2,1,11,0,0,0,0,6
JacksonDatabind_15,2,0,0,0,0,0,6,0,1,2,4,0,0,1,0,2
JacksonDatabind_18,3,0,0,13,0,0,13,0,2,8,6,0,0,3,0,9
JacksonDatabind_20,1,0,0,0,0,0,13,0,9,0,4,0,0,0,0,2
JacksonDatabind_21,6,0,2,21,0,0,18,0,10,2,6,0,0,1,0,10
JacksonDatabind_23,0,0,0,3,0,0,3,0,1,0,3,0,0,0,0,0
JacksonDatabind_25,15,1,0,33,0,0,24,0,9,2,11,0,0,2,0,16
JacksonDatabind_29,8,0,2,2,0,0,15,0,4,1,15,0,0,2,0,14
JacksonDatabind_3,2,0,0,11,0,0,4,0,2,0,9,0,0,0,0,1
JacksonDatabind_30,6,0,1,19,0,0,24,0,10,10,11,0,1,0,0,16
JacksonDatabind_31,0,0,0,0,0,0,5,0,0,1,4,0,0,0,0,0
JacksonDatabind_32,0,0,0,0,0,0,4,0,1,1,4,0,0,0,0,0
JacksonDatabind_36,8,0,0,1,0,0,4,0,2,0,7,0,0,0,0,5
JacksonDatabind_38,5,0,0,26,0,1,18,0,6,0,9,0,0,3,0,13
JacksonDatabind_4,8,0,0,4,0,0,9,0,5,2,9,0,1,1,0,8
JacksonDatabind_41,5,0,1,23,0,0,18,0,3,2,7,0,0,4,0,10
JacksonDatabind_43,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0
JacksonDatabind_48,3,0,1,18,0,0,11,0,4,6,8,0,1,0,0,7
JacksonDatabind_50,0,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0
JacksonDatabind_52,6,0,0,5,0,0,15,0,4,2,9,0,0,4,0,14
JacksonDatabind_53,4,0,1,26,0,0,18,0,9,4,9,0,1,10,0,7
JacksonDatabind_54,6,0,0,12,0,0,9,0,2,4,10,0,0,0,0,15
JacksonDatabind_55,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
JacksonDatabind_59,5,0,0,15,0,0,10,0,9,4,10,0,0,0,0,8
JacksonDatabind_6,5,0,0,0,0,0,8,0,1,3,16,0,0,0,0,10
JacksonDatabind_60,1,0,0,0,0,0,5,0,2,0,4,0,0,0,0,0
JacksonDatabind_61,8,0,1,8,0,0,12,0,5,2,3,0,0,0,0,7
JacksonDatabind_65,1,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0
JacksonDatabind_66,4,0,1,13,0,0,12,0,5,1,11,0,0,1,0,8
JacksonDatabind_68,3,3,2,12,0,0,14,0,8,0,4,0,0,0,0,9
JacksonDatabind_69,2,2,0,15,0,0,11,0,4,5,1,0,1,0,0,7
JacksonDatabind_72,5,0,0,12,0,0,12,0,8,1,4,0,1,3,0,4
JacksonDatabind_73,6,0,0,28,0,0,24,0,13,1,12,0,0,7,0,15
JacksonDatabind_75,4,0,0,1,0,0,3,0,1,0,4,0,0,0,0,1
JacksonDatabind_77,3,0,0,10,0,0,12,0,9,4,6,0,0,1,0,3
JacksonDatabind_78,3,0,0,0,0,0,17,0,15,6,7,0,0,0,0,8
JacksonDatabind_79,3,0,0,16,0,0,16,0,10,1,9,0,0,2,0,4
JacksonDatabind_8,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
JacksonDatabind_80,0,0,0,4,0,0,2,0,0,0,4,0,0,0,0,0
JacksonDatabind_81,0,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0
JacksonDatabind_87,2,0,0,6,0,0,10,0,1,0,4,0,0,0,0,1
JacksonDatabind_90,1,0,0,4,0,0,6,0,1,2,3,0,0,0,0,2
JacksonDatabind_94,3,0,0,10,0,0,11,0,2,0,8,0,0,0,0,7
JacksonDatabind_95,5,0,0,4,0,0,12,0,3,0,12,0,0,3,0,5
JacksonXml_1,1,0,0,4,0,2,16,0,3,1,8,0,0,0,0,6
JacksonXml_2,3,0,0,16,0,0,14,0,7,1,5,0,0,3,0,9
Jsoup_11,2,0,0,9,0,0,12,0,2,11,8,0,0,0,0,7
Jsoup_12,10,0,0,5,0,0,14,0,4,2,7,0,0,3,0,14
Jsoup_14,14,0,0,23,0,0,18,0,4,10,9,0,0,2,0,14
Jsoup_16,13,0,2,0,0,0,9,0,1,0,12,0,0,5,0,11
Jsoup_18,19,0,0,26,0,0,11,0,0,10,8,0,0,1,0,10
Jsoup_21,6,0,1,0,0,0,10,0,6,2,12,0,0,0,0,6
Jsoup_22,7,0,5,1,6,0,21,0,11,8,7,0,4,5,0,25
Jsoup_23,3,0,1,9,0,0,6,0,2,8,5,0,0,1,0,4
Jsoup_28,6,0,0,17,0,0,14,0,8,11,11,0,1,0,1,9
Jsoup_29,10,0,1,0,0,1,13,0,3,5,7,0,0,1,0,8
Jsoup_3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jsoup_31,1,0,0,0,0,0,12,0,1,11,2,0,0,0,0,0
Jsoup_36,11,0,1,19,0,0,17,0,2,1,11,0,0,2,0,8
Jsoup_4,7,1,0,8,0,0,6,0,0,3,7,0,0,0,0,2
Jsoup_50,7,0,0,3,0,0,9,0,1,2,11,0,0,3,0,7
Jsoup_52,27,0,0,27,0,0,26,0,3,4,10,0,2,0,0,20
Jsoup_59,6,0,0,10,0,0,12,0,7,3,9,0,0,0,0,5
Jsoup_60,6,0,0,22,0,0,12,0,3,3,11,0,0,2,0,8
Jsoup_63,7,0,0,13,0,0,16,0,3,10,12,0,0,0,0,8
Jsoup_65,9,0,1,2,0,0,13,0,8,4,10,0,0,1,0,5
Jsoup_66,34,0,0,41,0,0,17,0,21,1,10,0,0,3,0,22
Jsoup_67,2,0,0,15,0,0,20,0,6,0,7,0,2,2,0,24
Jsoup_7,42,0,0,1,0,0,10,0,6,1,10,0,0,0,0,26
Jsoup_71,9,0,2,5,0,0,24,0,6,5,9,0,2,0,0,14
Jsoup_73,7,0,0,22,0,0,10,0,1,1,11,0,0,4,0,24
Jsoup_74,18,0,0,23,0,0,17,0,5,3,7,0,0,0,0,16
Jsoup_78,3,0,0,1,0,0,8,0,0,11,6,0,0,0,0,1
Jsoup_81,9,0,0,17,0,0,11,0,5,1,4,0,0,6,0,8
Jsoup_83,7,0,0,3,0,0,11,0,5,8,6,0,0,1,0,3
Jsoup_87,8,0,0,20,0,1,19,0,8,12,13,0,0,2,0,13
Jsoup_91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jsoup_92,9,0,0,10,0,0,27,0,7,1,4,0,0,4,0,19
JxPath_1,13,1,0,0,0,0,14,0,6,4,7,1,1,4,0,8
JxPath_11,6,0,0,17,0,0,14,0,6,1,11,0,0,0,0,10
JxPath_13,1,0,0,0,0,0,10,0,2,4,5,0,0,0,0,2
JxPath_16,1,0,0,0,0,0,9,0,2,6,8,0,0,0,0,3
JxPath_17,7,1,0,0,0,0,9,0,3,3,12,0,0,0,0,6
JxPath_18,5,0,0,2,0,0,12,0,6,1,10,0,1,0,0,3
JxPath_19,4,0,0,15,0,0,8,0,5,3,8,0,0,0,0,5
JxPath_2,4,0,0,3,0,0,15,0,3,5,7,0,0,0,0,8
JxPath_20,22,0,0,0,0,0,14,0,3,1,9,0,0,5,0,9
JxPath_3,4,0,0,10,0,0,8,0,4,4,7,0,0,0,0,6
JxPath_4,2,0,0,0,0,0,15,0,3,4,6,0,0,0,0,5
JxPath_7,1,0,1,7,0,0,12,0,4,1,3,0,0,0,0,8
JxPath_9,10,0,2,18,0,0,12,0,1,0,7,0,1,4,0,5
Lang_15,2,0,0,10,0,0,8,0,2,2,8,0,0,0,0,10
Lang_19,16,0,0,18,0,0,9,0,1,0,12,0,0,1,0,11
Lang_20,1,0,0,0,0,0,6,0,2,1,6,0,0,0,0,4
Lang_23,2,0,0,9,0,0,6,0,3,1,6,0,0,0,0,2
Lang_30,5,0,0,8,0,0,13,0,5,2,2,0,0,0,0,5
Lang_32,5,0,0,0,0,0,11,0,5,0,11,0,0,2,0,11
