bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WRITE
Lang_20,1,0,0,0,0,4,0,0,3,4,0,2,0,10
Lang_23,1,0,0,0,1,1,0,2,1,4,0,0,0,12
Lang_27,1,0,0,0,1,1,0,3,2,4,0,3,0,13
Lang_30,0,0,0,0,1,6,0,7,1,8,0,1,0,21
Lang_32,2,0,0,0,0,2,0,3,2,3,0,4,0,14
Lang_34,1,0,0,0,2,0,0,6,2,3,0,1,0,22
Lang_35,1,0,0,0,0,1,0,4,1,3,0,0,0,12
Lang_36,1,0,0,0,0,1,0,7,3,4,0,3,0,17
Lang_4,2,0,0,0,0,1,0,2,2,3,0,2,0,6
Lang_41,1,0,0,0,0,1,0,3,2,10,0,8,0,26
Lang_46,11,0,0,0,0,1,0,1,4,11,0,4,0,11
Lang_47,2,0,0,0,0,0,0,2,1,3,0,5,0,13
Lang_5,1,0,0,0,1,1,0,2,1,4,0,0,0,10
Lang_50,3,0,0,0,0,2,0,6,2,8,0,1,0,26
Lang_56,1,0,0,0,1,0,0,1,1,5,0,1,0,12
Lang_60,3,0,0,0,0,3,0,2,1,6,0,4,0,11
Lang_62,0,0,3,0,0,1,0,2,2,4,0,4,0,11
Lang_63,0,0,0,0,0,0,0,1,1,4,0,0,0,12
Lang_64,3,0,0,0,0,1,0,1,2,4,0,5,0,11
Lang_65,13,0,0,0,0,6,0,3,6,24,0,0,0,34
Lang_7,1,0,0,0,0,0,0,1,1,4,0,0,0,11
Lang_8,1,0,0,0,1,0,0,1,1,6,0,1,0,7
Math_1,1,0,0,0,0,2,0,4,3,4,0,1,0,17
Math_100,11,0,0,0,2,4,0,4,1,8,0,9,1,17
Math_106,1,0,0,0,1,0,0,2,1,6,0,0,0,5
Math_12,3,0,0,0,0,0,0,1,1,4,0,1,0,4
Math_14,0,0,0,0,0,2,0,0,1,8,0,1,0,9
Math_15,1,0,0,0,0,1,0,3,1,6,0,0,0,6
Math_16,2,0,0,0,0,3,0,5,2,4,0,5,0,9
